time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps,segment
307.679698,0.000000,0.000000,0.023617,-0.000494,1
307.779698,0.000000,0.000000,0.030608,0.000843,1
307.879698,0.000000,0.000000,0.023620,0.000808,1
307.979698,0.000000,0.000000,0.013108,0.001342,1
308.079698,0.000000,0.000000,0.009034,0.000978,1
308.179698,0.000000,0.000000,0.006575,0.000974,1
308.279698,0.000000,0.000000,0.014564,0.001223,1
308.379698,0.000000,0.000000,0.025167,0.000520,1
308.479698,0.000000,0.000000,0.023001,0.000844,1
308.579698,0.000000,0.000000,0.017629,0.001504,1
308.679698,0.000000,0.000000,0.022328,0.000799,1
308.779698,0.000000,0.000000,0.029549,0.000970,1
308.879698,0.000000,0.000000,0.025851,0.001366,1
308.979698,0.000000,0.000000,0.019407,0.001078,1
309.079698,0.000000,0.000000,0.020236,0.001517,1
309.179698,0.000000,0.000000,0.022897,0.001005,1
309.279698,0.000000,0.000000,0.023397,0.000764,1
309.379698,0.000000,0.000000,0.023354,0.000722,1
309.479698,0.000000,0.000000,0.018842,0.001046,1
309.579698,0.000000,0.000000,0.013211,0.000847,1
309.679698,0.000000,0.000000,0.021932,0.000638,1
309.779698,0.000000,0.000000,0.034248,0.001590,1
309.879698,0.000000,0.000000,0.025724,0.001971,1
309.979698,0.000000,0.000000,0.011979,0.001244,1
310.079698,0.000000,0.000000,0.013223,0.001344,1
310.179698,0.000000,0.000000,0.018233,0.000774,1
310.279698,0.000000,0.000000,0.017269,0.000672,1
310.379698,0.000000,0.000000,0.014811,0.000058,1
310.479698,0.000000,0.000000,0.021145,0.000875,1
310.579698,0.000000,0.000000,0.029687,0.000565,1
310.679698,0.000000,0.000000,0.034278,0.000523,1
310.779698,0.000000,0.000000,0.037878,0.002118,1
310.879698,0.000000,0.000000,0.037185,0.001881,1
310.979698,0.000000,0.000000,0.035414,0.000447,1
311.079698,0.000000,0.000000,0.036090,0.000696,1
311.179698,0.000000,0.000000,0.037384,0.000579,1
311.279698,0.000000,0.000000,0.026280,0.001703,1
311.379698,0.000000,0.000000,0.012070,0.000571,1
311.479698,0.000000,0.000000,0.010731,0.001106,1
311.579698,0.000000,0.000000,0.012621,0.001162,1
311.679698,0.000000,0.000000,0.013240,0.002205,1
311.779698,0.000000,0.000000,0.013541,0.000953,1
311.879698,0.000000,0.000000,0.019618,0.000351,1
311.979698,0.000000,0.000000,0.027141,0.000804,1
312.079698,0.000000,0.000000,0.026677,0.001249,1
312.179698,0.000000,0.000000,0.024203,0.000877,1
312.279698,0.000000,0.000000,0.030871,0.001224,1
312.379698,0.000000,0.000000,0.039831,0.002252,1
312.479698,0.000000,0.000000,0.030998,0.001032,1
312.579698,0.000000,0.000000,0.017697,0.000427,1
312.679698,0.000000,0.000000,0.022266,0.000864,1
312.779698,0.000000,0.000000,0.031310,0.000802,1
312.879698,0.000000,0.000000,0.036619,0.000566,1
312.979698,0.000000,0.000000,0.040992,0.001127,1
313.079698,0.000000,0.000000,0.035646,0.001879,1
313.179698,0.000000,0.000000,0.027862,0.000144,1
313.279698,0.000000,0.000000,0.027300,0.001215,1
313.379698,0.000000,0.000000,0.028543,0.000436,1
313.479698,0.000000,0.000000,0.022115,0.001286,1
313.579698,0.000000,0.000000,0.013764,0.001833,1
313.679698,0.000000,0.000000,0.019134,0.000019,1
313.779698,0.000000,0.000000,0.027962,0.001465,1
313.879698,0.000000,0.000000,0.023751,0.000162,1
313.979698,0.000000,0.000000,0.016270,0.001044,1
314.079698,0.000000,0.000000,0.022057,0.001118,1
314.179698,0.000000,0.000000,0.031186,0.001110,1
314.279698,0.000000,0.000000,0.047169,0.001361,1
314.379698,0.000000,0.000000,0.064867,0.000731,1
314.479698,0.000000,0.000000,0.066985,0.000784,1
314.579698,0.000000,0.000000,0.065203,0.000657,1
314.679698,0.000000,0.000000,0.052937,0.000863,1
314.779698,0.000000,0.000000,0.038039,0.000835,1
314.879698,0.000000,0.000000,0.036792,0.001164,1
314.979698,0.000000,0.000000,0.038960,0.001182,1
315.079698,0.000000,0.000000,0.032260,0.000803,1
315.179698,0.000000,0.000000,0.023334,0.000788,1
315.279698,0.000000,0.000000,0.018019,0.000999,1
315.379698,0.000000,0.000000,0.013612,0.001125,1
315.479698,0.000000,0.000000,0.015880,0.000237,1
315.579698,0.000000,0.000000,0.019823,-0.001135,1
315.679698,0.000000,0.000000,0.015202,0.003344,1
315.779698,0.000000,0.000000,0.008427,0.000606,1
315.879698,0.000000,0.000000,0.017298,0.000161,1
315.979698,0.000000,0.000000,0.030082,0.001227,1
316.079698,0.000000,0.000000,0.032490,0.001038,1
316.179698,0.000000,0.000000,0.032289,0.001243,1
316.279698,0.000000,0.000000,0.033887,-0.005791,1
316.379698,0.000000,0.000000,0.035935,-0.027335,1
316.479698,0.000000,0.000000,0.032400,0.001334,1
316.579698,0.000000,0.000000,0.027466,0.001703,1
316.679698,0.000000,0.000000,0.047878,0.000925,1
316.779698,0.000000,0.000000,0.074647,0.000691,1
316.879698,0.000000,0.000000,0.055009,0.000441,1
316.979698,0.000000,0.000000,0.023705,0.001566,1
317.079698,0.000000,0.000000,0.014522,-0.000046,1
317.179698,0.000000,0.000000,0.020092,0.000982,1
317.279698,0.000000,0.000000,0.023110,0.001418,1
317.379698,0.000000,0.000000,0.025485,0.001181,1
317.479698,0.000000,0.000000,0.021151,0.000851,1
317.579698,0.000000,0.000000,0.015133,0.000809,1
317.679698,0.000000,0.000000,0.012045,-0.000715,1
317.779698,0.000000,0.000000,0.009691,-0.000885,1
317.879698,0.000000,0.000000,0.016291,0.001118,1
317.979698,0.000000,0.000000,0.025134,0.001274,1
318.079698,0.000000,0.000000,0.017801,0.000826,1
318.179698,0.000000,0.000000,0.006409,0.001104,1
318.279698,0.000000,0.000000,0.006723,0.000036,1
318.379698,0.000000,0.000000,0.009976,0.001759,1
318.479698,0.000000,0.000000,0.018032,0.000868,1
318.579698,0.000000,0.000000,0.027296,0.001040,1
318.679698,0.000000,0.000000,0.026703,0.001046,1
318.779698,0.000000,0.000000,0.023636,0.000226,1
318.879698,0.000000,0.000000,0.016149,-0.000354,1
318.979698,0.000000,0.000000,0.007556,-0.005635,1
319.079698,0.000000,0.000000,0.010584,0.001331,1
319.179698,0.000000,0.000000,0.016530,0.001634,1
319.279698,0.000000,0.000000,0.021061,0.001475,1
319.379698,0.000000,0.000000,0.025238,0.001430,1
319.479698,0.000000,0.000000,0.024208,0.000528,1
319.579698,0.000000,0.000000,0.021869,0.000788,1
319.679698,0.000000,0.000000,0.016284,0.000268,1
319.779698,0.000000,0.000000,0.009887,0.000919,1
319.879698,0.000000,0.000000,0.011064,0.001238,1
319.979698,0.000000,0.000000,0.014145,0.001457,1
320.079698,0.000000,0.000000,0.059787,0.001142,1
320.179698,0.000000,0.000000,0.116157,0.001188,1
320.279698,0.000000,0.000000,0.106967,0.000892,1
320.379698,0.000000,0.000000,0.081307,0.000539,1
320.479698,0.000000,0.000000,0.084495,0.000635,1
320.579698,0.000000,0.000000,0.094925,0.000910,1
320.679698,0.000000,0.000000,0.063105,0.000855,1
320.779698,0.000000,0.000000,0.020695,0.000690,1
320.879698,0.000000,0.000000,0.023502,0.001696,1
320.979698,0.000000,0.000000,0.037624,0.001239,1
321.079698,0.000000,0.000000,0.028245,0.000216,1
321.179698,0.000000,0.000000,0.012960,0.001323,1
321.279698,0.000000,0.000000,0.022911,0.000712,1
321.379698,0.000000,0.000000,0.039179,0.001125,1
321.479698,0.000000,0.000000,0.027918,0.000678,1
321.579698,0.000000,0.000000,0.009729,0.000794,1
321.679698,0.000000,0.000000,0.006211,0.000324,1
321.779698,0.000000,0.000000,0.006371,0.000757,1
321.879698,0.000000,0.000000,0.013319,0.001291,1
321.979698,0.000000,0.000000,0.021970,0.001324,1
322.079698,0.000000,0.000000,0.026282,0.001051,1
322.179698,0.000000,0.000000,0.029505,0.001544,1
322.279698,0.000000,0.000000,0.025785,0.001034,1
322.379698,0.000000,0.000000,0.020329,0.001384,1
322.479698,0.000000,0.000000,0.018917,0.000908,1
322.579698,0.000000,0.000000,0.018519,0.000972,1
322.679698,0.000000,0.000000,0.045579,0.001333,1
322.779698,0.000000,0.000000,0.079514,0.000121,1
322.879698,0.000000,0.000000,0.057937,0.000232,1
322.979698,0.000000,0.000000,0.022451,0.000863,1
323.079698,0.000000,0.000000,0.034364,0.001540,1
323.179698,0.000000,0.000000,0.058245,0.001295,1
323.279698,0.000000,0.000000,0.043559,0.001078,1
323.379698,0.000000,0.000000,0.019203,0.000895,1
323.479698,0.000000,0.000000,0.017824,0.000651,1
323.579698,0.000000,0.000000,0.022209,0.001406,1
323.679698,0.000000,0.000000,0.016977,0.000900,1
323.779698,0.000000,0.000000,0.009339,0.001017,1
323.879698,0.000000,0.000000,0.006726,0.001766,1
323.979698,0.000000,0.000000,0.005371,0.000717,1
324.079698,0.000000,0.000000,0.004848,0.000339,1
324.179698,0.000000,0.000000,0.004535,0.001177,1
324.279698,0.000000,0.000000,0.013744,0.000951,1
324.379698,0.000000,0.000000,0.025335,0.001414,1
324.479698,0.000000,0.000000,0.022544,0.000934,1
324.579698,0.000000,0.000000,0.016148,0.000763,1
324.679698,0.000000,0.000000,0.016968,0.001075,1
324.779698,0.000000,0.000000,0.019597,0.000897,1
324.879698,0.000000,0.000000,0.015853,0.001056,1
324.979698,0.000000,0.000000,0.010509,0.001069,1
325.079698,0.000000,0.000000,0.019088,0.000751,1
325.179698,0.000000,0.000000,0.031175,0.000878,1
325.279698,0.000000,0.000000,0.028639,0.001105,1
325.379698,0.000000,0.000000,0.022433,0.000829,1
325.479698,0.000000,0.000000,0.022347,0.001367,1
325.579698,0.000000,0.000000,0.023794,0.001107,1
325.679698,0.000000,0.000000,0.022773,0.000498,1
325.779698,0.000000,0.000000,0.021137,0.001558,1
325.879698,0.000000,0.000000,0.016906,0.000778,1
325.979698,0.000000,0.000000,0.012025,0.001426,1
326.079698,0.000000,0.000000,0.024216,0.000789,1
326.179698,0.000000,0.000000,0.040695,0.000946,1
326.279698,0.000000,0.000000,0.042030,0.000388,1
326.379698,0.000000,0.000000,0.039549,0.001382,1
