time_s,throttle_norm,rudder_norm,speed_mps,yaw_rate_rps
75.479698,0.200000,0.000000,1.286524,0.043477
75.579698,0.200000,0.000000,1.330100,0.010349
75.679698,0.200000,0.000000,1.341241,-0.003742
75.779698,0.200000,0.000000,1.344254,0.019348
75.879698,0.200000,0.000000,1.327581,0.015521
75.979698,0.200000,0.000000,1.305980,0.021271
76.079698,0.200000,0.000000,1.304457,0.018220
76.179698,0.200000,0.000000,1.316324,-0.014451
76.279698,0.200000,0.000000,1.313013,-0.014043
76.379698,0.200000,0.000000,1.299565,0.035766
76.479698,0.200000,0.000000,1.302612,0.036953
76.579698,0.200000,0.000000,1.316650,-0.007101
76.679698,0.200000,0.000000,1.320492,0.035293
76.779698,0.200000,0.000000,1.321782,0.028796
76.879698,0.200000,0.000000,1.295506,0.037288
76.979698,0.200000,0.000000,1.262330,0.011357
77.079698,0.200000,0.000000,1.263006,-0.019100
77.179698,0.200000,0.000000,1.286282,0.021053
77.279698,0.200000,0.000000,1.328445,0.018929
77.379698,0.200000,0.000000,1.383228,-0.034610
77.479698,0.200000,0.000000,1.329293,-0.056141
77.579698,0.200000,0.000000,1.247980,-0.018323
77.679698,0.200000,0.000000,1.263298,0.027379
77.779698,0.200000,0.000000,1.302824,0.044103
77.879698,0.200000,0.000000,1.305351,-0.008195
77.979698,0.200000,0.000000,1.298576,-0.028009
78.079698,0.200000,0.000000,1.316664,0.015128
78.179698,0.200000,0.000000,1.341014,0.015932
78.279698,0.200000,0.000000,1.330755,-0.017118
78.379698,0.200000,0.000000,1.297446,-0.002090
78.479698,0.200000,0.000000,1.287686,0.042888
78.579698,0.200000,0.000000,1.293625,-0.012565
78.679698,0.200000,0.000000,1.280455,-0.057031
78.779698,0.200000,0.000000,1.262498,-0.041909
78.879698,0.200000,0.000000,1.305212,0.007807
78.979698,0.200000,0.000000,1.363084,-0.022999
79.079698,0.200000,0.000000,1.345183,-0.022245
79.179698,0.200000,0.000000,1.276812,0.007979
79.279698,0.200000,0.000000,1.242435,-0.006491
79.379698,0.200000,0.000000,1.216577,-0.000912
79.479698,0.200000,0.000000,1.246924,0.033266
79.579698,0.200000,0.000000,1.291414,0.022186
79.679698,0.200000,0.000000,1.295301,-0.010869
79.779698,0.200000,0.000000,1.272179,-0.025614
79.879698,0.200000,0.000000,1.295100,-0.025987
79.979698,0.200000,0.000000,1.329548,-0.000244
80.079698,0.200000,0.000000,1.335056,0.021092
80.179698,0.200000,0.000000,1.333279,0.041104
80.279698,0.200000,0.000000,1.307296,0.086329
80.379698,0.200000,0.000000,1.275252,0.073218
80.479698,0.200000,0.000000,1.272765,0.011844
80.579698,0.200000,0.000000,1.277690,-0.005108
80.679698,0.200000,0.000000,1.304526,-0.001501
80.779698,0.200000,0.000000,1.336844,0.007823
80.879698,0.200000,0.000000,1.334644,0.009433
80.979698,0.200000,0.000000,1.309490,0.010095
81.079698,0.200000,0.000000,1.308671,0.011148
81.179698,0.200000,0.000000,1.313997,0.000855
81.279698,0.200000,0.000000,1.315716,-0.009701
81.379698,0.200000,0.000000,1.315037,0.017947
81.479698,0.200000,0.082305,1.332063,0.018524
81.579698,0.200000,0.359598,1.360887,0.003666
81.679698,0.200000,0.472342,1.326715,0.085294
81.779698,0.200000,0.410074,1.276722,0.206685
81.879698,0.200000,0.392520,1.263912,0.248982
81.979698,0.200000,0.370039,1.275901,0.280742
82.079698,0.200000,0.372496,1.266962,0.287008
82.179698,0.200000,0.372500,1.252763,0.303211
82.279698,0.200000,0.372500,1.209201,0.316020
82.379698,0.200000,0.372500,1.158273,0.307027
82.479698,0.200000,0.372500,1.179275,0.323120
82.579698,0.200000,0.372500,1.218362,0.321598
82.679698,0.200000,0.372500,1.206514,0.306709
82.779698,0.200000,0.372500,1.181887,0.322583
82.879698,0.200000,0.372500,1.154725,0.316096
82.979698,0.200000,0.372500,1.126925,0.287486
83.079698,0.200000,0.374994,1.144583,0.301540
83.179698,0.200000,0.379993,1.192556,0.298319
83.279698,0.200000,0.392488,1.215009,0.272555
83.379698,0.200000,0.394997,1.231041,0.300944
83.479698,0.200000,0.395000,1.207396,0.283258
83.579698,0.200000,0.395000,1.173813,0.308195
83.679698,0.200000,0.395000,1.159024,0.308489
83.779698,0.200000,0.395000,1.148938,0.310284
83.879698,0.200000,0.395000,1.157229,0.330871
83.979698,0.200000,0.395000,1.170124,0.318442
84.079698,0.200000,0.395000,1.118931,0.305226
84.179698,0.200000,0.395000,1.051584,0.304710
84.279698,0.200000,0.395000,1.081117,0.313121
84.379698,0.200000,0.395000,1.134996,0.319455
84.479698,0.200000,0.395000,1.139604,0.324179
84.579698,0.200000,0.395000,1.131825,0.322210
84.679698,0.200000,0.395000,1.112685,0.330591
84.779698,0.200000,0.395000,1.090701,0.331951
84.879698,0.200000,0.395000,1.098941,0.326884
84.979698,0.200000,0.395000,1.114748,0.311299
85.079698,0.200000,0.395000,1.097427,0.327000
85.179698,0.200000,0.395000,1.071786,0.281407
85.279698,0.200000,0.395000,1.077842,0.308861
85.379698,0.200000,0.395000,1.104978,0.299514
85.479698,0.200000,0.395000,1.115438,0.313562
85.579698,0.200000,0.395000,1.121722,0.319227
85.679698,0.200000,0.395000,1.106788,0.327395
